 Year,State,Station,PMI,Sprays,Interval,MeanIndex,MedianIndex,Std
2016,WA,Moxee.E,30C,9,8.67,86.15,100,24.88
2016,WA,Moxee.E,28C,9,8.67,85,100,25.82
2016,WA,Moxee.E,28C_4C,9,8.67,72.31,90,33.07
2016,WA,Moxee.E,28C_4C_4h,9,8.67,82.56,100,26.65
2017,WA,Moxee.E,30C,7,11.14,33.21,15,38.12
2017,WA,Moxee.E,28C,6,13,15.77,0,30.43
2017,WA,Moxee.E,28C_4C,6,13,15.77,0,30.43
2017,WA,Moxee.E,28C_4C_4h,6,13,15.77,0,30.43
2018,WA,Moxee.E,30C,10,7.8,79.49,90,28.55
2018,WA,Moxee.E,28C,9,8.67,71.03,80,29.52
2018,WA,Moxee.E,28C_4C,8,9.75,51.92,50,32.6
2018,WA,Moxee.E,28C_4C_4h,9,8.67,63.46,70,32.79
2019,WA,Moxee.E,30C,10,7.8,83.97,100,25.4
2019,WA,Moxee.E,28C,9,8.67,67.82,80,32.78
2019,WA,Moxee.E,28C_4C,9,8.67,64.74,70,31.2
2019,WA,Moxee.E,28C_4C_4h,9,8.67,66.92,80,32.16
2020,WA,Moxee.E,30C,.,.,.,.,.
2020,WA,Moxee.E,28C,.,.,.,.,.
2020,WA,Moxee.E,28C_4C,.,.,.,.,.
2020,WA,Moxee.E,28C_4C_4h,.,.,.,.,.
2021,WA,Moxee.E,30C,9,8.7,77.1,90,33
2021,WA,Moxee.E,28C,9,8.7,72.8,90,37
2021,WA,Moxee.E,28C_4C,8,9.8,57.9,75,41
2021,WA,Moxee.E,28C_4C_4h,9,8.7,64.7,80,38
2022,WA,Moxee.E,30C,8,9.8,55.8,70,41
2022,WA,Moxee.E,28C,8,9.8,55,60,41
2022,WA,Moxee.E,28C_4C,8,9.8,53.8,60,42
2022,WA,Moxee.E,28C_4C_4h,8,9.8,53.8,60,42
2016,WA,Mabton.E,30C,9,8.67,85.13,100,26.71
2016,WA,Mabton.E,28C,9,8.67,76.15,90,31.43
2016,WA,Mabton.E,28C_4C,9,8.67,66.28,80,36.29
