YEAR,DATE,SU,REP,TRT,PLANT,PM
2019,8/29/2019,Cone,II,4,1,0
2019,8/29/2019,Cone,II,4,2,0
2019,8/29/2019,Cone,II,4,3,0
2019,8/29/2019,Cone,II,4,4,0
2019,8/29/2019,Cone,II,4,5,0
2019,8/29/2019,Cone,II,4,6,0
2019,8/29/2019,Cone,II,4,7,0
2019,8/29/2019,Cone,II,4,8,0
2019,8/29/2019,Cone,II,4,9,0
2019,8/29/2019,Cone,II,4,10,0
2019,8/29/2019,Cone,III,4,1,0
2019,8/29/2019,Cone,III,4,2,0
2019,8/29/2019,Cone,III,4,3,0
2019,8/29/2019,Cone,III,4,4,0
2019,8/29/2019,Cone,III,4,5,0
2019,8/29/2019,Cone,III,4,6,0
2019,8/29/2019,Cone,III,4,7,0
2019,8/29/2019,Cone,III,4,8,0
2019,8/29/2019,Cone,III,4,9,0
2019,8/29/2019,Cone,III,4,10,0
2019,8/29/2019,Cone,IV,4,1,0
2019,8/29/2019,Cone,IV,4,2,0
2019,8/29/2019,Cone,IV,4,3,0
2019,8/29/2019,Cone,IV,4,4,0
2019,8/29/2019,Cone,IV,4,5,0
2019,8/29/2019,Cone,IV,4,6,0
2019,8/29/2019,Cone,IV,4,7,0
2019,8/29/2019,Cone,IV,4,8,0
2019,8/29/2019,Cone,IV,4,9,0
2019,8/29/2019,Cone,IV,4,10,0
2019,8/29/2019,Cone,V,4,1,.
2019,8/29/2019,Cone,V,4,2,.
2019,8/29/2019,Cone,V,4,3,.
2019,8/29/2019,Cone,V,4,4,.
2019,8/29/2019,Cone,V,4,5,.
2019,8/29/2019,Cone,V,4,6,.
2019,8/29/2019,Cone,V,4,7,.
2019,8/29/2019,Cone,V,4,8,.
2019,8/29/2019,Cone,V,4,9,.
2019,8/29/2019,Cone,V,4,10,.
2019,8/29/2019,Cone,VI,4,1,.
2019,8/29/2019,Cone,VI,4,2,.
2019,8/29/2019,Cone,VI,4,3,.
2019,8/29/2019,Cone,VI,4,4,.
2019,8/29/2019,Cone,VI,4,5,.
2019,8/29/2019,Cone,VI,4,6,.
2019,8/29/2019,Cone,VI,4,7,.
2019,8/29/2019,Cone,VI,4,8,.
2019,8/29/2019,Cone,VI,4,9,.
2019,8/29/2019,Cone,VI,4,10,.
2019,8/29/2019,Cone,VII,4,1,.
2019,8/29/2019,Cone,VII,4,2,.
2019,8/29/2019,Cone,VII,4,3,.
2019,8/29/2019,Cone,VII,4,4,.
2019,8/29/2019,Cone,VII,4,5,.
2019,8/29/2019,Cone,VII,4,6,.
2019,8/29/2019,Cone,VII,4,7,.
2019,8/29/2019,Cone,VII,4,8,.
2019,8/29/2019,Cone,VII,4,9,.
2019,8/29/2019,Cone,VII,4,10,.
2020,8/27/2020,Cone,I,1,1,2
2020,8/27/2020,Cone,I,1,2,0
2020,8/27/2020,Cone,I,1,3,2
2020,8/27/2020,Cone,I,1,4,1
2020,8/27/2020,Cone,I,1,5,2
2020,8/27/2020,Cone,I,1,6,1
2020,8/27/2020,Cone,I,1,7,3
2020,8/27/2020,Cone,I,1,8,1
2020,8/27/2020,Cone,I,1,9,0
2020,8/27/2020,Cone,I,1,10,3
2020,8/27/2020,Cone,II,1,1,4
2020,8/27/2020,Cone,II,1,2,1
2020,8/27/2020,Cone,II,1,3,2
2020,8/27/2020,Cone,II,1,4,2
2020,8/27/2020,Cone,II,1,5,1
2020,8/27/2020,Cone,II,1,6,3
2020,8/27/2020,Cone,II,1,7,2
2020,8/27/2020,Cone,II,1,8,0
2020,8/27/2020,Cone,II,1,9,3
2020,8/27/2020,Cone,II,1,10,4
2020,8/27/2020,Cone,III,1,1,4
2020,8/27/2020,Cone,III,1,2,2
2020,8/27/2020,Cone,III,1,3,3
2020,8/27/2020,Cone,III,1,4,2
2020,8/27/2020,Cone,III,1,5,3
2020,8/27/2020,Cone,III,1,6,1
2020,8/27/2020,Cone,III,1,7,1
2020,8/27/2020,Cone,III,1,8,1
2020,8/27/2020,Cone,III,1,9,0
2020,8/27/2020,Cone,III,1,10,2
2020,8/27/2020,Cone,IV,1,1,1
2020,8/27/2020,Cone,IV,1,2,2
2020,8/27/2020,Cone,IV,1,3,4
2020,8/27/2020,Cone,IV,1,4,2
2020,8/27/2020,Cone,IV,1,5,2
2020,8/27/2020,Cone,IV,1,6,3
2020,8/27/2020,Cone,IV,1,7,1
2020,8/27/2020,Cone,IV,1,8,1
2020,8/27/2020,Cone,IV,1,9,1
2020,8/27/2020,Cone,IV,1,10,6
2020,8/27/2020,Cone,V,1,1,3
2020,8/27/2020,Cone,V,1,2,1
2020,8/27/2020,Cone,V,1,3,2
2020,8/27/2020,Cone,V,1,4,4
2020,8/27/2020,Cone,V,1,5,0
2020,8/27/2020,Cone,V,1,6,1
2020,8/27/2020,Cone,V,1,7,2
2020,8/27/2020,Cone,V,1,8,2
2020,8/27/2020,Cone,V,1,9,1
2020,8/27/2020,Cone,V,1,10,3
2020,8/27/2020,Cone,VI,1,1,3
2020,8/27/2020,Cone,VI,1,2,1
2020,8/27/2020,Cone,VI,1,3,2
